uid,x,y
183,123,91
184,166,74
185,86,90
186,160,48
187,91,116
188,78,83
189,119,91
190,126,93
191,107,91
192,39,166
193,108,122
194,134,99
195,44,188
196,137,31
197,96,23
198,188,119
199,1,10
200,91,119
201,116,115
202,170,26
203,135,90
204,166,59
205,134,83
206,46,200
207,174,86
208,98,27
209,142,80
210,170,82
211,133,93
212,163,38
213,118,83
214,129,64
215,108,129
216,68,166
217,97,82
218,146,71
219,85,127
220,179,19
221,99,26
222,114,128
223,143,55
224,63,105
225,125,98
226,62,9
227,61,13
228,109,87
229,174,150
230,61,105
231,127,63
232,91,137
233,152,89
234,127,109
235,44,184
236,119,84
237,166,124
238,73,119
239,185,104
240,149,92
241,101,11
242,163,70
243,105,80
244,123,90
245,72,11
246,187,108
247,199,14
248,30,115
249,173,76
250,143,100
251,163,65
252,57,169
253,150,125
254,144,88
255,106,115
256,159,81
257,74,114
258,137,78
259,139,93
260,115,80
261,108,5
262,122,99
263,171,70
264,92,132
265,143,104
266,187,127
267,135,112
268,132,28
269,147,82
270,132,46
271,102,107
272,129,72
273,140,94
274,119,100
275,102,95
276,169,67
277,143,83
278,52,175
279,197,63
280,161,76
281,70,121
282,126,98
283,192,109
284,146,71
285,124,77
286,34,156
287,136,72
288,70,9
289,76,112
290,140,89
291,127,135
292,169,83
293,72,94
294,183,112
295,185,46
296,118,137
297,189,57
298,175,38
299,153,114
300,92,71
301,133,47
302,150,42
303,125,129
304,73,1
305,95,117
306,187,74
307,109,108
308,136,83
309,109,66
310,196,86
311,169,77
312,121,120
313,188,21
314,162,51
315,67,162
316,89,139
317,106,89
318,53,180
319,152,91
320,127,89
321,7,33
322,88,133
323,137,104
324,87,99
325,130,65
326,152,78
327,37,197
328,52,176
329,192,186
330,92,129
331,126,76
332,85,135
333,140,105
334,158,63
335,140,79
336,152,128
337,166,134
338,181,43
339,135,115
340,121,73
341,140,118
342,79,78
343,134,59
344,61,169
345,124,83
346,119,84
347,119,91
348,181,103
349,191,117
350,90,93
351,129,135
352,127,63
353,111,103
354,138,64
355,127,80
356,160,72
357,150,75
358,77,71
359,156,59
360,97,107
361,130,46
362,71,13
363,140,88
364,119,34
365,155,109
366,91,120
367,154,54
368,117,125
369,175,43
370,132,108
371,81,94
372,103,119
373,198,171
374,78,103
375,102,121
376,88,14
377,173,56
378,150,113
379,135,44
380,104,38
381,140,113
382,180,39
383,196,52
384,120,144
385,178,64
386,2,44
387,69,111
388,147,67
389,1,39
390,97,19
391,123,116
392,92,150
393,46,176
394,152,96
395,60,174
396,160,100
397,101,133
398,39,190
399,122,82
400,154,28
401,115,90
402,116,29
403,129,16
404,154,49
405,143,107
406,113,97
407,114,134
408,74,115
409,160,92
410,116,28
411,134,94
412,105,58
413,123,106
414,134,78
415,99,122
416,176,18
417,121,62
418,121,62
419,165,127
420,139,111
421,102,78
422,187,51
423,116,83
424,106,83
425,90,15
426,81,136
427,41,174
428,88,15
429,98,76
430,124,87
431,125,48
432,180,90
433,97,75
434,115,71
435,129,97
436,152,102
437,148,91
438,99,109
439,140,121
440,112,97
441,117,93
442,127,101
443,64,3
444,163,89
445,127,66
446,157,108
447,132,104
448,135,88
449,85,106
450,96,99
451,106,34
452,48,76
453,183,47
454,129,89
455,72,94
456,101,120
457,172,35
458,132,80
459,175,132
460,96,117
461,110,118
462,126,61
463,116,137
464,72,109
465,100,20
466,127,98
467,77,15
468,97,117
469,105,108
470,123,70
471,158,112
472,122,70
473,135,113
474,151,42
475,140,76
476,59,188
477,124,76
478,129,157
479,179,53
480,152,79
481,61,106
482,164,58
483,129,81
484,20,3
485,118,106
486,133,91
487,107,86
488,109,155
489,124,77
490,19,20
491,88,102
492,134,99
493,146,63
494,71,87
495,151,125
496,84,97
497,184,57
498,147,69
499,176,35
500,167,52
501,124,137
502,83,17
503,110,98
504,179,34
505,127,80
506,182,59
507,186,62
508,138,107
509,152,72
510,114,57
511,144,105
512,49,77
513,66,194
514,159,71
515,177,38
516,175,121
517,160,79
518,180,52
519,116,22
520,160,97
521,9,2
522,134,85
523,97,30
524,135,102
525,131,63
526,108,82
527,158,96
528,153,109
529,87,74
530,116,88
531,97,110
532,113,83
533,177,32
534,175,26
535,127,132
536,189,90
537,63,137
538,49,76
539,138,69
540,82,106
541,66,175
542,113,127
543,168,76
544,135,103
545,84,5
546,115,101
547,145,94
548,148,72
549,136,110
550,100,114
551,99,20
552,160,82
553,91,25
554,83,88
555,138,74
556,82,153
557,5,34
558,9,14
559,160,86
560,81,135
561,7,34
562,133,49
563,160,90
564,115,128
565,117,115
566,115,96
567,134,73
568,147,95
569,127,82
570,127,73
571,177,122
572,107,7
573,118,34
574,75,9
575,66,175
576,135,77
577,67,85
578,171,73
579,100,73
580,145,114
581,95,76
582,38,156
583,83,94
584,135,99
585,78,18
586,170,155
587,168,62
588,133,81
589,151,97
590,174,49
591,127,93
592,83,118
593,168,23
594,111,59
595,115,3
596,130,89
597,162,57
598,130,78
599,36,198
600,183,31
601,139,95
602,141,113
603,97,120
604,115,133
605,140,82
606,107,18
607,200,40
608,124,104
609,41,4
610,189,50
611,154,44
612,157,88
613,176,55
614,158,11
615,174,51
616,154,100
617,113,88
618,154,55
619,95,109
620,135,77
621,123,87
622,74,9
623,109,92
624,146,82
625,146,113
626,155,77
627,110,93
628,175,43
629,177,51
630,116,96
631,94,119
632,177,45
633,137,139
634,117,95
635,152,70
636,142,93
637,107,105
638,34,1
639,164,133
640,96,123
641,87,100
642,99,4
643,42,166
644,120,65
645,50,188
646,134,138
647,73,136
648,94,119
649,135,82
650,129,88
651,134,82
652,163,49
653,69,17
654,74,63
655,180,101
656,99,130
657,106,123
658,87,86
659,188,49
660,166,57
661,182,70
662,74,123
663,186,61
664,138,76
665,40,1
666,149,120
667,164,52
668,147,87
669,175,53
670,151,125
671,175,7
672,107,103
673,162,13
674,105,128
675,44,156
676,109,102
677,73,132
678,85,90
679,119,101
680,183,57
681,91,21
682,139,88
683,3,38
684,111,131
685,129,69
686,76,128
687,77,98
688,39,152
689,69,164
690,97,109
691,106,77
692,95,19
693,182,51
694,158,9
695,185,50
696,77,84
697,181,45
698,97,18
699,143,76
700,95,95
701,183,58
702,162,55
703,127,70
704,171,23
705,99,124
706,168,125
707,66,82
708,169,53
709,107,82
710,44,3
711,135,73
712,183,37
713,134,80
714,164,57
715,66,137
716,157,86
717,58,138
718,129,77
719,156,110
720,173,52
721,138,31
722,125,137
723,116,30
724,4,46
725,94,135
726,121,69
727,151,14
728,139,103
729,134,80
730,42,189
731,166,138
732,145,93
733,94,115
734,180,43
735,92,120
736,135,63
737,72,22
738,196,94
739,46,80
740,136,52
741,77,153
742,151,96
743,146,26
744,110,12
745,113,36
746,179,98
747,170,56
748,108,82
749,105,32
750,170,138
751,149,20
752,167,69
753,153,55
754,182,73
755,107,75
756,79,70
757,45,4
758,178,50
759,124,47
760,4,33
761,107,81
762,118,11
763,125,101
764,166,66
765,131,85
766,121,82
767,173,150
768,103,2
769,47,2
770,97,139
771,193,74
772,185,34
773,105,15
774,130,98
775,120,99
776,158,113
777,141,80
778,189,113
779,137,57
780,82,84
781,121,42
782,104,77
783,121,45
784,23,2
785,161,51
786,97,119
787,76,85
788,131,62
789,86,17
790,158,33
791,155,61
792,74,107
793,100,92
794,113,62
795,102,33
796,120,77
797,150,113
798,170,22
799,54,7
800,141,117
801,129,113
802,100,24
803,105,122
804,116,35
805,35,163
806,138,105
807,139,88
808,85,131
809,66,18
810,194,42
811,82,79
812,108,46
813,110,135
814,116,57
815,155,64
816,123,44
817,138,67
818,115,92
819,127,60
820,181,70
821,62,105
822,72,7
823,124,81
824,96,109
825,120,89
826,83,98
827,32,3
828,161,88
829,161,135
830,153,101
831,102,80
832,122,55
833,152,105
834,168,83
835,72,123
836,172,182
837,136,188
838,180,56
839,96,107
840,79,77
841,48,88
842,110,37
843,161,132
844,78,90
845,92,86
846,84,127
847,15,5
848,71,86
849,100,135
850,116,84
851,158,51
852,71,107
853,133,98
854,110,104
855,59,103
856,131,64
857,170,28
858,199,198
859,68,179
860,129,75
861,118,71
862,162,88
863,88,145
864,47,176
865,177,52
866,135,84
867,171,155
868,99,101
869,131,61
870,44,159
871,123,90
872,127,69
873,96,21
874,182,87
875,100,26
876,168,2
877,90,94
878,88,20
879,89,14
880,91,119
881,123,112
882,63,169
883,154,97
884,178,37
885,77,135
886,81,86
887,166,55
888,179,61
889,132,82
890,183,59
891,93,19
892,175,23
893,176,50
894,112,41
895,108,83
896,125,88
897,127,132
898,74,104
899,158,50
900,130,68
901,108,111
902,198,114
903,148,100
904,148,48
905,123,121
906,163,54
907,158,81
908,118,7
909,163,82
910,141,92
911,43,5
912,50,171
913,180,56
914,141,69
915,91,129
916,108,106
917,129,81
918,30,117
919,128,63
920,186,113
921,142,94
922,149,90
923,174,151
924,148,81
925,157,95
926,116,29
927,121,86
928,122,76
929,77,91
930,141,111
931,111,134
932,13,7
933,138,38
934,90,125
935,135,87
936,163,68
937,139,96
938,15,5
939,147,71
940,163,51
941,141,67
942,60,2
943,183,62
944,53,190
945,92,86
946,127,72
947,122,78
948,197,83
949,33,156
950,32,172
951,55,174
952,138,83
953,52,185
954,135,46
955,59,178
956,107,75
957,82,90
958,105,84
959,96,140
960,77,81
961,105,94
962,181,149
963,131,78
964,199,189
965,127,89
966,139,49
967,102,111
968,10,9
969,104,105
970,155,74
971,191,183
972,78,100
973,131,130
974,126,83
975,127,132
976,104,137
977,62,14
978,149,98
979,148,41
980,107,33
981,142,83
982,46,198
983,74,112
984,174,10
985,149,96
986,139,78
987,177,52
988,119,79
989,153,104
990,163,122
991,99,23
992,125,70
993,124,88
994,151,58
995,27,117
996,116,109
997,107,127
998,102,88
999,119,114
1000,76,98
1001,141,111
1002,165,51
1003,47,1
1004,140,121
1005,181,54
1006,70,16
1007,102,124
1008,57,180
1009,183,41
1010,126,72
1011,153,18
1012,112,102
1013,76,112
1014,171,81
1015,189,12
1016,140,71
1017,123,51
1018,74,103
1019,169,122
1020,138,106
1021,169,73
1022,133,79
1023,141,94
1024,97,108
1025,137,60
1026,110,120
1027,116,121
1028,145,111
1029,176,53
1030,147,91
1031,86,26
1032,73,108
1033,51,86
1034,136,83
1035,97,117
1036,83,103
1037,176,138
1038,118,115
1039,126,75
1040,79,78
1041,191,94
1042,117,98
1043,175,45
1044,158,52
1045,110,38
1046,85,76
1047,188,112
1048,136,45
1049,142,67
1050,77,96
1051,141,102
1052,125,105
1053,172,45
1054,59,115
1055,166,51
1056,97,100
1057,97,19
1058,99,24
1059,1,49
1060,177,48
1061,65,182
1062,160,86
1063,103,86
1064,174,85
1065,96,21
1066,182,93
1067,141,172
1068,168,76
1069,188,40
1070,75,9
1071,72,136
1072,161,51
1073,174,21
1074,120,70
1075,129,59
1076,118,89
1077,127,74
1078,44,198
1079,172,31
1080,79,84
1081,173,116
1082,164,69
1083,168,77
1084,96,108
1085,96,95
1086,136,52
1087,49,173
1088,155,68
1089,154,83
1090,161,60
1091,134,45
1092,133,84
1093,185,128
1094,107,15
1095,160,60
1096,172,24
1097,78,79
1098,130,94
1099,124,86
1100,100,82
1101,105,35
1102,135,77
1103,144,46
1104,152,99
1105,171,58
1106,68,93
1107,109,115
1108,181,100
1109,189,70
1110,163,34
1111,11,37
1112,198,39
1113,171,50
1114,47,1
1115,74,131
1116,176,46
1117,141,87
1118,64,174
1119,188,124
1120,121,102
1121,165,56
1122,97,74
1123,93,132
1124,190,106
1125,130,136
1126,197,77
1127,163,63
1128,120,113
1129,69,111
1130,149,89
1131,151,123
1132,76,135
1133,125,96
1134,126,47
1135,18,14
1136,113,12
1137,74,189
1138,84,131
1139,135,79
1140,143,80
1141,120,89
1142,128,56
1143,95,122
1144,131,1
1145,188,14
1146,142,66
1147,141,71
1148,159,58
1149,162,86
1150,170,58
1151,110,105
1152,132,64
1153,79,151
1154,154,103
1155,128,87
1156,109,100
1157,142,49
1158,122,91
1159,149,65
1160,78,100
1161,196,124
1162,100,104
1163,197,66
1164,158,106
1165,170,34
1166,178,35
1167,156,62
1168,165,58
1169,147,100
1170,93,24
1171,117,31
1172,137,109
1173,90,133
1174,161,53
1175,139,54
1176,135,73
1177,136,47
1178,93,94
1179,89,67
1180,138,106
1181,8,12
1182,131,52
1183,149,20
1184,126,78
1185,125,85
1186,112,38
1187,116,92
1188,133,99
1189,123,113
1190,93,25
1191,79,89
1192,161,83
1193,140,65
1194,54,177
1195,73,114
1196,120,69
1197,141,98
1198,82,100
1199,159,51
1200,173,6
1201,172,46
1202,154,90
1203,146,123
1204,126,123
1205,190,49
1206,107,80
1207,54,182
1208,88,92
1209,121,71
1210,150,56
1211,88,106
1212,160,77
1213,94,22
1214,158,109
1215,193,97
1216,128,59
1217,117,49
1218,176,23
1219,44,200
1220,122,79
1221,96,108
1222,188,39
1223,42,164
1224,139,56
1225,174,12
1226,84,132
1227,174,121
1228,66,177
1229,75,69
1230,69,103
1231,189,59
1232,176,28
1233,190,57
1234,12,3
1235,186,64
1236,172,138
1237,144,40
1238,83,118
1239,109,128
1240,189,53
1241,105,113
1242,182,43
1243,2,14
1244,136,107
1245,132,58
1246,135,46
1247,13,20
1248,123,107
1249,157,51
1250,189,58
1251,99,92
1252,145,71
1253,75,114
1254,73,112
1255,102,82
1256,173,90
1257,110,130
1258,184,103
1259,58,138
1260,113,56
1261,141,74
1262,191,58
1263,111,89
1264,113,43
1265,93,102
1266,96,104
1267,151,37
1268,114,70
1269,151,71
1270,151,123
1271,140,112
1272,178,67
1273,153,80
1274,185,72
1275,157,75
1276,173,139
1277,131,83
1278,114,126
1279,160,59
1280,129,75
1281,117,127
1282,77,25
1283,155,62
1284,124,73
1285,108,117
1286,93,138
1287,140,110
1288,143,62
1289,197,80
1290,166,54
1291,153,94
1292,196,28
1293,163,93
1294,124,11
1295,186,30
1296,80,67
1297,155,75
1298,96,83
1299,133,74
1300,137,58
1301,138,84
1302,66,175
1303,188,48
1304,95,118
1305,120,109
1306,129,13
1307,167,36
1308,80,86
1309,137,96
1310,23,114
1311,80,130
1312,43,157
1313,144,113
1314,61,189
1315,130,86
1316,132,63
1317,80,69
1318,102,109
1319,78,82
1320,103,111
1321,58,187
1322,127,88
1323,131,75
1324,74,96
1325,82,84
1326,82,65
1327,152,44
1328,96,103
1329,110,84
1330,134,28
1331,68,84
1332,196,81
1333,10,26
1334,56,82
1335,86,132
1336,124,28
1337,70,168
1338,51,181
1339,110,116
1340,151,75
1341,94,74
1342,103,95
1343,81,7
1344,127,154
1345,151,103
1346,7,33
1347,122,78
1348,176,86
1349,30,154
1350,161,122
1351,119,133
1352,147,83
1353,102,103
1354,84,158
1355,139,88
1356,189,48
1357,107,94
1358,76,128
1359,97,116
1360,58,2
1361,151,100
1362,11,2
1363,116,88
1364,130,83
1365,130,81
1366,165,58
1367,126,73
1368,99,82
1369,192,56
1370,83,100
1371,65,183
1372,123,113
1373,170,57
1374,177,46
1375,98,73
1376,119,98
1377,197,86
1378,119,91
1379,96,70
1380,161,96
1381,122,98
1382,155,107
1383,16,29
1384,151,91
1385,144,83
1386,148,67
1387,157,86
1388,82,19
1389,140,113
1390,135,70
1391,142,115
1392,87,72
1393,179,19
1394,179,148
1395,159,48
1396,143,55
1397,52,174
1398,114,123
1399,163,49
1400,156,45
1401,95,15
1402,163,38
1403,84,112
1404,106,108
1405,165,67
1406,169,18
1407,95,21
1408,99,110
1409,124,88
1410,142,108
1411,100,77
1412,180,50
1413,83,86
1414,135,52
1415,183,47
1416,57,1
1417,145,45
1418,124,101
1419,90,66
1420,146,117
1421,111,135
1422,96,6
1423,181,40
1424,166,75
1425,125,47
1426,44,162
1427,62,105
1428,119,77
1429,155,80
1430,116,30
1431,181,81
1432,132,76
1433,155,73
1434,118,84
1435,101,85
1436,152,98
1437,122,97
1438,132,67
1439,155,75
1440,142,49
1441,91,99
1442,121,42
1443,157,90
1444,119,71
1445,87,23
1446,163,95
1447,157,83
1448,116,54
1449,140,57
1450,71,13
1451,106,96
1452,111,140
1453,91,86
1454,100,101
1455,132,75
1456,165,69
1457,169,91
1458,136,107
1459,143,81
1460,55,71
1461,141,80
1462,134,65
1463,136,106
1464,118,93
1465,98,125
1466,119,117
1467,60,112
1468,138,65
1469,163,64
1470,71,15
1471,139,67
1472,80,131
1473,160,84
1474,126,67
1475,145,85
1476,67,148
1477,65,145
1478,141,81
1479,108,129
1480,179,46
1481,146,75
1482,97,82
1483,177,53
1484,139,47
1485,98,124
1486,123,99
1487,15,7
1488,166,74
1489,159,75
1490,122,78
1491,154,107
1492,163,58
1493,75,10
1494,182,162
1495,35,5
1496,119,93
1497,101,124
1498,43,156
1499,101,20
1500,140,74
1501,140,57
1502,194,17
1503,188,28
1504,144,47
1505,128,98
1506,195,88
1507,178,32
1508,115,121
1509,94,114
1510,179,156
1511,90,120
1512,91,136
1513,129,63
1514,173,92
1515,79,144
1516,127,2
1517,182,42
1518,177,88
1519,151,114
1520,194,93
1521,184,64
1522,168,75
1523,102,98
1524,72,113
1525,89,83
1526,85,25
1527,39,174
1528,169,71
1529,66,85
1530,118,58
1531,109,33
1532,120,71
1533,123,134
1534,110,130
1535,177,89
1536,121,92
1537,102,101
1538,126,96
1539,191,185
1540,38,183
1541,115,91
1542,68,136
1543,167,59
1544,179,51
1545,169,120
1546,149,88
1547,107,118
1548,167,130
1549,110,88
1550,109,94
1551,82,91
1552,68,166
1553,137,91
1554,137,86
1555,160,76
1556,66,82
1557,89,24
1558,158,49
1559,91,112
1560,51,182
1561,90,120
1562,99,110
1563,159,109
1564,86,120
1565,183,40
1566,194,14
1567,121,94
1568,77,153
1569,43,165
1570,157,75
1571,103,94
1572,180,17
1573,136,44
1574,169,145
1575,69,80
1576,132,92
1577,90,102
1578,47,179
1579,116,161
1580,125,104
1581,125,100
1582,183,44
1583,149,82
1584,163,29
1585,120,133
1586,150,92
1587,44,157
1588,74,23
1589,137,101
1590,178,41
1591,83,113
1592,51,177
1593,30,155
1594,34,10
1595,180,63
1596,166,53
1597,71,16
1598,41,178
1599,81,93
1600,110,120
1601,139,88
1602,99,102
1603,125,77
1604,189,49
1605,123,69
1606,87,94
1607,142,70
1608,191,40
1609,102,78
1610,158,64
1611,148,82
1612,123,83
1613,120,81
1614,123,70
1615,113,125
1616,170,84
1617,111,66
1618,137,105
1619,135,81
1620,182,51
1621,69,118
1622,186,115
1623,192,46
1624,119,83
1625,138,106
1626,130,44
1627,149,67
1628,142,87
1629,80,15
1630,146,76
1631,149,98
1632,147,79
1633,157,76
1634,142,68
1635,136,48
1636,78,124
1637,128,71
1638,118,92
1639,185,53
1640,157,113
1641,35,2
1642,152,76
1643,182,61
1644,113,138
1645,163,127
1646,66,163
1647,96,108
1648,135,90
1649,120,115
1650,10,28
1651,81,107
1652,96,112
1653,150,72
1654,64,119
1655,52,172
1656,143,107
1657,159,87
1658,141,93
1659,111,26
1660,116,81
1661,89,132
1662,79,98
1663,191,183
1664,5,25
1665,161,63
1666,150,104
1667,136,55
1668,132,142
1669,73,82
1670,124,68
1671,127,100
1672,127,62
1673,140,6
1674,135,76
1675,94,133
1676,161,37
1677,153,87
1678,87,134
1679,94,108
1680,185,113
1681,131,84
1682,61,106
1683,140,64
1684,53,176
1685,101,115
1686,68,111
1687,141,95
1688,101,82
1689,85,134
1690,40,3
1691,187,69
1692,172,121
1693,197,95
1694,154,20
1695,119,41
1696,108,95
1697,66,146
1698,137,86
1699,149,53
1700,120,21
1701,100,31
1702,157,54
1703,132,101
1704,108,95
1705,122,76
1706,171,64
1707,139,104
1708,57,131
1709,135,78
1710,146,91
1711,83,119
1712,72,98
1713,127,80
1714,122,40
1715,186,64
1716,98,100
1717,82,115
1718,119,95
1719,150,103
1720,139,88
1721,98,132
1722,132,66
1723,138,118
1724,122,135
1725,136,71
1726,134,95
1727,72,83
1728,91,119
1729,72,133
1730,161,89
1731,53,168
1732,129,88
1733,107,99
1734,9,23
1735,1,47
1736,134,64
1737,111,18
1738,192,17
1739,31,148
1740,88,131
1741,12,7
1742,157,58
1743,125,68
1744,180,76
1745,138,62
1746,132,80
1747,146,92
1748,1,40
1749,166,45
1750,161,55
1751,163,82
1752,99,82
1753,138,99
1754,174,8
1755,113,36
1756,127,45
1757,169,64
1758,132,92
1759,108,91
1760,153,81
1761,135,83
1762,154,78
1763,73,106
1764,120,102
1765,125,98
1766,152,59
1767,84,17
1768,154,69
1769,73,7
1770,111,81
1771,151,101
1772,157,63
1773,195,57
1774,122,102
1775,165,62
1776,141,51
1777,91,71
1778,161,13
1779,71,20
1780,129,81
1781,149,92
1782,157,51
1783,149,122
1784,94,124
1785,186,111
1786,114,75
1787,132,89
1788,170,28
1789,164,82
1790,129,99
1791,120,123
1792,88,137
1793,112,144
1794,110,81
1795,129,79
1796,121,72
1797,157,75
1798,168,80
1799,107,8
1800,81,130
1801,144,53
1802,146,92
1803,52,176
1804,133,92
1805,139,142
1806,65,176
1807,154,195
1808,151,59
1809,155,59
1810,63,164
1811,10,97
1812,123,88
1813,46,2
1814,124,77
1815,134,65
1816,161,62
1817,41,176
1818,180,63
1819,72,126
1820,187,45
1821,142,81
1822,133,88
1823,169,39
1824,167,57
1825,119,73
1826,39,167
1827,166,59
1828,63,110
1829,175,16
1830,67,149
1831,77,16
1832,176,56
1833,116,88
1834,30,8
1835,83,113
1836,150,70
1837,119,101
1838,160,135
1839,134,107
1840,125,67
1841,56,6
1842,115,94
1843,149,47
1844,137,78
1845,115,37
1846,149,85
1847,147,59
1848,149,79
1849,134,69
1850,145,105
1851,80,71
1852,93,66
1853,95,95
1854,79,70
1855,118,138
1856,196,155
1857,29,3
1858,197,199
1859,179,101
1860,143,114
1861,184,118
1862,43,158
1863,100,23
1864,191,99
1865,123,102
1866,88,145
1867,133,59
1868,116,127
1869,183,69
1870,161,59
1871,199,67
1872,121,115
1873,131,45
1874,169,121
1875,177,56
1876,160,131
1877,126,79
1878,70,108
1879,103,23
1880,116,37
1881,190,15
1882,150,77
1883,86,18
1884,195,42
1885,135,82
1886,169,1
1887,60,172
1888,187,77
1889,69,177
1890,80,99
1891,163,91
1892,104,23
1893,122,70
1894,94,126
1895,118,96
1896,101,7
1897,139,42
1898,79,97
1899,190,57
1900,120,91
1901,68,146
1902,140,62
1903,115,94
1904,199,72
1905,83,98
1906,167,77
1907,146,27
1908,124,74
1909,180,118
1910,112,3
1911,94,129
1912,139,67
1913,190,118
1914,136,84
1915,149,89
1916,196,39
1917,107,17
1918,169,25
1919,27,1
1920,144,68
1921,107,135
1922,10,17
1923,182,45
1924,138,85
1925,76,14
1926,196,27
1927,143,113
1928,80,72
1929,71,14
1930,146,88
1931,87,136
1932,165,138
1933,123,132
1934,46,177
1935,46,188
1936,136,47
1937,127,20
1938,118,86
1939,144,116
1940,117,106
1941,98,100
1942,126,68
1943,82,98
1944,68,149
1945,160,74
1946,133,88
1947,146,121
1948,84,20
1949,180,46
1950,178,57
1951,80,122
1952,163,69
1953,135,104
1954,146,92
1955,103,109
1956,194,94
1957,143,117
1958,39,186
1959,161,82
1960,85,117
1961,97,128
1962,44,181
1963,113,117
1964,140,99
1965,121,106
1966,94,24
1967,183,51
1968,11,16
1969,113,3
1970,159,107
1971,159,62
1972,133,69
1973,175,21
1974,79,27
1975,154,86
1976,131,52
1977,171,63
1978,185,105
1979,129,76
1980,120,74
1981,71,14
1982,200,38
1983,145,21
1984,96,25
1985,120,75
1986,177,1
1987,185,51
1988,100,75
1989,134,88
1990,146,93
1991,69,164
1992,7,34
1993,193,44
1994,170,86
1995,115,89
1996,97,127
1997,66,173
1998,135,82
1999,106,10
2000,135,44
2001,83,132
2002,74,133
2003,180,70
2004,172,80
2005,137,88
2006,185,52
2007,169,46
2008,140,94
2009,173,51
2010,175,5
2011,155,73
2012,173,79
2013,125,55
2014,105,76
2015,129,80
2016,132,28
2017,157,76
2018,133,88
2019,145,69
2020,125,97
2021,36,186
2022,194,54
2023,163,37
2024,129,68
2025,135,138
2026,106,102
2027,114,85
2028,106,78
2029,128,79
2030,141,82
2031,101,101
2032,65,148
2033,150,46
2034,185,21
2035,199,35
2036,72,63
2037,126,96
2038,157,65
2039,88,90
2040,163,35
2041,80,20
2042,189,54
2043,80,130
2044,163,79
2045,38,101
2046,55,174
2047,103,113
2048,161,77
2049,78,68
2050,173,24
2051,94,131
2052,170,95
2053,93,132
2054,190,14
2055,173,148
2056,179,158
2057,141,54
2058,108,108
2059,63,152
2060,80,67
2061,169,41
2062,170,28
2063,150,96
2064,169,36
2065,91,136
2066,166,55
2067,105,74
2068,150,95
2069,134,86
2070,94,100
2071,144,44
2072,137,46
2073,97,95
2074,21,110
2075,127,102
2076,72,106
2077,103,130
2078,88,19
2079,80,68
2080,164,44
2081,115,27
2082,101,112
2083,158,76
2084,134,91
2085,52,1
2086,106,47
2087,119,114
2088,98,117
2089,49,185
2090,173,121
2091,88,119
2092,108,16
2093,116,98
2094,70,120
2095,124,65
2096,147,81
2097,19,11
2098,150,77
2099,96,74
2100,125,53
2101,118,132
2102,102,108
2103,85,100
2104,149,31
2105,110,36
2106,180,73
2107,115,90
2108,177,48
2109,135,78
2110,132,90
2111,157,64
2112,179,80
2113,91,71
2114,93,99
2115,94,74
2116,120,95
2117,90,116
2118,174,137
2119,127,16
2120,124,92
2121,144,111
2122,185,57
2123,111,114
2124,52,180
2125,149,94
2126,155,53
2127,86,99
2128,93,26
2129,114,32
2130,77,14
2131,160,20
2132,198,16
2133,40,169
2134,198,14
2135,118,55
2136,94,162
2137,10,6
2138,128,93
2139,68,114
